scenario_id,interest_rate_change,inflation_spike,market_volatility_shock,equity_impact,fixed_income_impact,macroeconomic_score_adjustment,sentiment_index_adjustment
SCN_01,0.1,0,TRUE,-0.078,0.066,-1.64,0.11
SCN_02,-1.27,1,TRUE,0.049,0.04,-0.87,0.14
SCN_03,0.32,0,FALSE,-0.056,-0.021,0.79,0.28
SCN_04,0.56,0,TRUE,0.04,0.077,-1.98,-0.66
SCN_05,-1.55,1,TRUE,0.048,0.003,0.06,-0.66
SCN_06,0.64,1,FALSE,-0.078,-0.016,-1.37,-0.45
SCN_07,-1.15,1,FALSE,0.009,-0.015,0.85,-0.46
SCN_08,-0.6,0,FALSE,-0.06,0.076,0.09,-1.57
SCN_09,-0.84,1,FALSE,-0.023,0.064,0.75,-1.58
SCN_10,-0.56,1,TRUE,-0.01,0.037,-0.05,-1.47
