client_id,age,gender,employment_status,annual_income,debt_to_income_ratio,financial_knowledge_score,investment_goals,risk_appetite,investment_horizon_years,dependents,preferred_asset_classes,savings_rate,net_worth
96c4c0a3-bb3f-4ac1-81ad-0850cd29911f,63,Other,Salaried,61244.14,0.49,5,Retirement,Medium,9,1,"['Bonds', 'Real Estate']",0.09,150946.53
35fb4c11-fb1a-4eeb-addc-bd6ff6cb7934,43,Male,Salaried,111338.35,0.39,1,Home Purchase,Low,19,3,"['Stocks', 'Bonds']",0.29,1072347.37
e5aafbe0-c869-41d9-acf1-1b019363e449,56,Other,Salaried,27581.32,0.12,5,Wealth Accumulation,Medium,13,3,"['Real Estate', 'ETFs']",0.07,177370.9
43b978dd-4dd5-4f21-96d2-63ab16c814a3,37,Other,Retired,64813.5,0.44,4,Retirement,Medium,3,2,"['Bonds', 'ETFs']",0.22,523811.23
abe77866-df1b-4a5c-ad96-eb78dff4ffc9,42,Male,Self-Employed,108668.65,0.35,2,Education,Low,19,0,"['ETFs', 'Stocks']",0.21,938672.67
773e1579-3d8a-4a53-a86e-06c4ab14bf22,51,Female,Retired,85010.3,0.59,1,Retirement,Medium,10,2,"['Real Estate', 'Stocks']",0.14,176190.58
366c572f-2cc1-48ba-b3fe-e11f49ca6c50,52,Female,Salaried,79347.7,0.37,4,Education,High,20,1,"['Real Estate', 'Mutual Funds']",0.06,495872.04
f0cbfe61-064c-42ec-a27b-056996c182a3,58,Other,Salaried,67272.09,0.13,4,Retirement,Medium,3,2,"['Mutual Funds', 'Stocks']",0.12,328361.21
4cfe27eb-7d5b-4d61-9be8-40e91f04b2f5,64,Male,Unemployed,81125.46,0.43,9,Education,Medium,12,0,"['Mutual Funds', 'Bonds']",0.23,562027.74
2eef3ba0-a7c7-42b1-a3ac-3c33aedcb5f2,53,Male,Retired,83144.91,0.25,6,Retirement,Medium,20,1,"['Bonds', 'Real Estate']",0.23,375382.71
feee5b03-437c-47e7-ba44-8dc58bd961ad,55,Female,Retired,108395.14,0.13,5,Wealth Accumulation,Medium,24,2,"['Stocks', 'Bonds']",0.16,800360.77
e851f024-4212-4fb7-974e-3595ca932bc0,35,Female,Unemployed,30773.1,0.24,1,Education,Low,17,0,"['Real Estate', 'Mutual Funds']",0.05,187378.42
bf22d180-8d4e-41aa-a662-c209939a7824,53,Female,Unemployed,131418.78,0.15,3,Home Purchase,Low,5,0,"['Bonds', 'Real Estate']",0.16,552534.95
c057db2b-b8cc-4627-a552-a0be634ebe9a,30,Other,Retired,111376.51,0.26,4,Home Purchase,High,29,3,"['ETFs', 'Mutual Funds']",0.05,377861.9
