client_id,recommended_strategy,forecasted_value_year_1,forecasted_value_year_2,forecasted_value_year_3
96c4c0a3-bb3f-4ac1-81ad-0850cd29911f,Conservative,41357.80335,81489.88867,92882.02442
35fb4c11-fb1a-4eeb-addc-bd6ff6cb7934,Conservative,45185.4382,132260.8823,145035.0428
e5aafbe0-c869-41d9-acf1-1b019363e449,Conservative,23555.62101,33145.98139,148644.6314
43b978dd-4dd5-4f21-96d2-63ab16c814a3,Balanced,17482.74133,38176.70359,51761.48908
abe77866-df1b-4a5c-ad96-eb78dff4ffc9,Balanced,15862.09268,53750.14798,83508.14406
773e1579-3d8a-4a53-a86e-06c4ab14bf22,Aggressive,87024.10992,110227.0552,120541.6945
366c572f-2cc1-48ba-b3fe-e11f49ca6c50,Balanced,32241.32029,120573.7918,126519.1301
f0cbfe61-064c-42ec-a27b-056996c182a3,Aggressive,48301.64671,113072.3315,148894.3434
4cfe27eb-7d5b-4d61-9be8-40e91f04b2f5,Balanced,25719.88893,40300.61245,113752.0262
2eef3ba0-a7c7-42b1-a3ac-3c33aedcb5f2,Conservative,20904.77476,31605.44484,90416.72352
feee5b03-437c-47e7-ba44-8dc58bd961ad,Aggressive,33066.829,53377.00255,99990.28908
e851f024-4212-4fb7-974e-3595ca932bc0,Conservative,21063.02536,139136.6883,149089.4271
bf22d180-8d4e-41aa-a662-c209939a7824,Balanced,75842.67412,91094.09609,105727.5652
c057db2b-b8cc-4627-a552-a0be634ebe9a,Conservative,20783.06994,75262.23019,142243.7019
da7ab453-9f00-4b15-bc5c-2cee2f69eda2,Balanced,32506.66206,46388.30895,55416.75545
c016931a-2824-4ebd-8945-608c16137087,Balanced,30784.6773,107090.6768,143236.4552
d2e9c309-35a3-40b7-9ccb-6ae2e038a377,Balanced,88901.00345,114077.2259,137958.3606
a6959c14-afe2-445a-b741-1372f72a18b1,Aggressive,31260.3909,48868.67849,141188.5386
9a54770b-3231-4732-908b-c0a6783425af,Aggressive,94517.71228,109597.9454,113668.7491
5b63951e-cd39-4d24-8107-37b96872826a,Balanced,33543.83571,52377.44588,105928.788
1bf91aa3-9c2d-44c8-bffa-2f36a98fc2b9,Conservative,115119.6838,123688.1371,129080.3526
386de91b-3783-451d-b25a-da29302dd1db,Conservative,69409.22702,98860.1535,100665.1231
30ebae4a-ef30-4c77-96ae-e7f0fabc6ed2,Aggressive,21468.37217,111006.6118,143050.2442
c5acd8d9-f563-4809-bafa-c614a9fa86b7,Aggressive,32530.69681,106286.4258,130911.0144
e3c4c565-3017-46cf-adb3-1a2d33fd278f,Balanced,77531.9239,80721.80861,127282.8252
df05a695-db52-4b55-9e75-1b62e5dbac22,Conservative,57319.44358,98775.17435,101177.2588
85c545f0-8da4-4aae-9ea4-5635c726f05c,Conservative,83627.99082,113938.4561,135427.9461
b6cfccc1-522d-488b-a6c8-8b71f79d49fa,Conservative,72064.84689,94673.05444,104476.0739
b82e27fc-1a0a-4538-ac9f-b8722d9da39a,Balanced,29478.32252,96329.54983,108126.1985
95ac0266-c2e3-4441-8ca5-0bf08e384c15,Conservative,63157.62786,94985.20418,127802.1802
b3531135-01fe-4721-b9c3-3cfa49c70402,Conservative,46905.43969,104314.7939,115282.2223
a54de3a4-3038-4288-8f21-cffd9e8fcdb7,Aggressive,46461.02482,92439.76082,125907.303
aa628119-00fe-4038-97e3-5dc214371deb,Aggressive,57977.52299,66466.04362,105522.9684
c210f73b-ee0d-4ac9-ad34-07e8c77f390f,Conservative,28360.76416,51636.48834,122241.8704
6a195232-2a3a-44ec-ae6d-fbc00f775212,Balanced,24402.19215,85288.47275,94506.36305
469b3f7a-9b65-4e94-b1f1-6c1f77fd520b,Balanced,15055.38907,35704.2517,113999.2677
b3cd3322-965a-443e-b440-774d3d7af7d6,Conservative,29018.31712,31682.28623,35189.15801
6dd7fb33-b449-4230-aaea-590eb1ae5586,Balanced,16537.60519,65765.6418,109028.4698
d028f6c4-ab68-416a-8e04-e360a0bda5bc,Aggressive,86916.06898,100662.216,121634.5746
71af5658-6a76-41b9-a4ab-dd4196e94777,Balanced,24793.84675,62924.33054,105882.5732
7d66fdf1-27d5-4b91-82f1-b6348c42bc5a,Conservative,42933.68529,58075.12126,118569.2093
186b4275-55e9-4f7a-abb9-cefc2dfd12a6,Balanced,75077.5223,127755.9543,149933.2006
004db221-85da-482b-97e1-2063e3d2a7e4,Balanced,31957.71498,67874.98329,138589.379
60146042-3087-4df3-b1a2-2696ff2c6f03,Conservative,81394.52851,82856.37367,102440.7251
b9998efb-3ecf-4af2-bfad-f9771178de8e,Conservative,43124.13783,85832.93563,89936.15119
3ef03aab-7f48-48b5-b05d-9e9af9cc2348,Balanced,70519.45037,83956.92412,90163.77719
8f788913-0abb-4774-839d-dfa8e1f53909,Conservative,58021.14575,70334.35767,145857.8224
a68108ee-d48a-41e7-bfa7-e4b10264c01f,Aggressive,30582.7207,74120.65312,81620.97635
536b6a7f-07f0-4c16-872b-8dae2d2dcdfb,Aggressive,18143.75572,81895.82415,82720.0242
fc6c4749-429a-4675-b6d4-078761cbe331,Balanced,55525.94488,109810.3137,145538.438
9c1244cd-9467-4c02-9a4f-0df5157c0048,Conservative,83815.23076,113092.0829,136384.6139
0bcdcd7d-b2a8-4019-b253-52f72d12f3aa,Conservative,49616.47989,78423.28022,148432.6336
742736a0-4881-478e-80de-31cd0e0923ce,Conservative,58774.77425,126847.4611,147375.322
1dde6328-df51-46f6-9e12-246a74844ed3,Conservative,123262.7532,124600.8601,126970.8221
13aa032c-6776-4ea6-b841-f1bcbb29ebc6,Balanced,25117.44171,29887.35832,66773.71831
2672e7f0-8afd-446a-ac43-19cb3998aa96,Conservative,108640.7035,144907.5381,146638.7566
d1889ccb-7830-4945-98de-14f88c1d5440,Balanced,27411.62135,72910.9474,107600.4448
79efd283-640f-4d52-8eab-2c4d83462f60,Conservative,31477.25856,40560.05672,121019.7783
26fecb45-4c59-4a34-acdc-0e93eb9ee45d,Balanced,86873.82278,136323.5623,149688.9895
b41525eb-cd18-491e-a26d-de184b58ef6b,Balanced,20378.27726,85295.01058,126920.078
eb794c0f-f157-451b-9b40-4f824d255cd6,Balanced,98818.01532,99817.72697,114104.4424
ccfe58fe-33ee-4f8e-9c4e-818669d429fd,Balanced,44315.97002,106539.7892,107413.4985
130aa78e-7d13-40b0-a529-05b45bbac47a,Balanced,16043.58609,36617.31242,72120.31318
607e0b5f-82f1-4831-bc7f-cee8cddf7418,Conservative,18914.02057,29895.19447,119048.3631
4e72a051-dcea-4edc-96d7-ff12f74247c7,Conservative,15543.41265,40218.11354,69222.09892
5b1b8e82-d74e-464d-bd51-987d86a3dd19,Balanced,43357.14422,50719.78969,120828.7854
d68920f0-77b8-49dd-a990-8f8201fd2e7f,Balanced,58616.98088,64361.69197,141075.6142
554381a6-4245-4225-b54b-caff4d839076,Balanced,31876.46071,34442.74834,63971.94676
d2ba9f9c-7886-4314-8b3a-908b84def1cb,Aggressive,16730.47502,122552.2922,143337.1593
98b8d3b6-6ec7-4055-a013-48c3699378a6,Conservative,35997.91235,142816.6199,145097.7674
3e96b177-66b7-4658-967a-f937d01d8844,Conservative,20749.77879,110291.3782,145846.8596
b61dfb30-5e9d-4c7b-baa1-a182b9420e71,Conservative,60749.05464,75051.94978,129498.3991
f09fa174-5657-4173-be47-678774398e13,Balanced,23749.32646,61193.35266,101148.8309
86ad46bc-d37c-4451-b7db-1109f7f2e6b9,Aggressive,25359.83436,51993.3337,139299.6213
e55576bb-c08f-4fbd-a933-4e45b34e4e53,Balanced,99963.94612,121375.9861,123324.3755
cfb1ba49-1de7-473f-83f1-521756ae109e,Conservative,19841.42379,35099.77235,109418.6095
d8cdf07d-7c70-456f-8c3b-510621e8358c,Aggressive,43964.81803,85125.4446,105219.0671
27e17a1c-2191-45a4-a328-dcb1908de1dc,Conservative,39762.70111,105954.2152,118256.3683
a87563e8-43dc-448d-9ba8-037934f1019d,Balanced,107304.2085,142849.2386,145411.633
a2da5843-2191-49db-88ba-b232fa6a533b,Conservative,101964.0422,108725.7656,149982.6442
78379ca7-5211-4e48-ab6d-48af359d7a40,Balanced,16413.2574,59970.73531,101763.4981
7af1ce3f-1db9-4bd6-9cd4-400b0b909cbd,Balanced,88661.88847,132264.6808,134169.4733
0dc30a9c-440f-426a-a08b-c10593b6f9f1,Balanced,54332.57464,76697.07485,123091.4538
9c6263fc-4ef9-42a3-9693-a6b3cd953ecc,Aggressive,93163.50366,94348.651,96318.94331
44979478-9b6c-443e-a034-0690551127ed,Balanced,30889.91341,131685.7221,142764.3814
62a7a56e-da49-41b4-8b28-7cf179e4ad46,Balanced,78620.12847,105164.0617,114097.7091
cb113975-5b74-4f51-a598-145d0630a68b,Balanced,22575.0496,33491.55763,90809.12483
dee403d9-fee4-4abb-aa0d-d37be72f95fb,Aggressive,62238.08061,80454.23524,81766.62931
9226f829-1633-47ff-8d87-3c1b7bbc39c5,Balanced,15130.26985,101239.0622,133283.2063
67cf8ea8-a9a2-4dfe-a30f-4857e9dbbdfc,Balanced,40288.01366,94709.03291,100561.4069
3f63ac11-1fb4-4671-a153-fc3e259cd1f1,Balanced,23019.40148,64318.14103,104934.7499
c49304fc-28c1-42d7-99dc-e12607e84f11,Balanced,78405.83515,91962.63189,111982.7161
f49424a9-cd58-4497-8208-8176cb2cce31,Balanced,33256.77569,48220.61167,143639.8277
7b6c6cf7-55ce-4941-9ba2-dae5010763f3,Balanced,58559.41948,73053.18429,79730.1075
78bb059a-0151-4ccb-a3dd-d85d653df555,Conservative,52119.4799,103197.5553,141628.4512
60f46148-af91-4dd2-9545-12a50bbf0aa9,Balanced,63826.51448,93300.88767,105828.0376
910ecd71-0a39-4e99-9425-fbda1749c3c3,Balanced,23969.6203,133258.2898,141774.3409
8afaca87-844f-4628-8220-d26aef8a2ef4,Conservative,99155.05263,121773.876,141463.698
69247e78-b309-4e8d-97a8-5919f9e4c694,Aggressive,46155.82954,84840.15729,125686.558
2f976efe-3648-441b-a7c9-528325235f6a,Balanced,17960.06802,34128.81383,76145.93753
242d265e-f85e-43e8-a5e0-d870d7b728fb,Balanced,24164.4361,54920.95398,67060.85466
bcac6260-5506-41ea-9491-684e6d8289f2,Balanced,37426.90712,52691.55331,90479.56928
8d5ce979-d421-4354-916c-6880cbbde881,Conservative,66024.96723,95848.5352,138603.3742
6024cb8f-28cb-4b64-9e07-4956f22ea2e3,Conservative,47600.20989,110306.7296,136065.0458
7e496f6f-0596-4c2e-b0f1-0fbf4b8a02c5,Balanced,25727.02618,88581.53351,99643.43394
a1a1c8e0-c411-4057-a211-f72614d0857e,Aggressive,52821.0311,73103.2969,84841.19884
827d65a6-5afd-4918-a617-bd59039f0b86,Balanced,52827.38706,70085.80484,119080.0083
f774ea77-48bc-4f62-a9cc-2fcdfb0f8958,Conservative,17780.67934,20543.20053,106892.6821
f626f157-d3c0-4af5-b004-1bca16abd087,Balanced,42736.9258,108409.8618,112207.4082
a9928f8b-7043-470c-8795-1eb30281f1a5,Balanced,79592.66489,80143.22008,87144.57122
a2d5818c-c166-450e-abb9-7f04edde1b48,Conservative,44749.89179,84841.87029,101833.7554
f3150add-fd13-46e9-a790-34f1f22fe45a,Aggressive,82022.21859,114037.6744,146099.0054
8ca8c172-d16a-40ad-9ebb-4f9b02977a9e,Balanced,45176.2884,47378.8426,98400.26019
b77860c9-fe2a-445d-965c-67530074bcc1,Aggressive,43333.13972,46455.66798,124480.7608
7494e3d3-2d9b-4175-8839-c82133a2ca05,Balanced,44377.56403,44700.02035,96522.67467
baf1a1fd-995a-4759-b06c-325fe027a59b,Aggressive,30616.05242,95154.59574,128185.5826
97a45f5e-5b6d-499c-b265-4e54a5665e86,Balanced,53788.92892,93481.3865,141195.4068
32cd4365-531b-4dad-90b9-3d631a92b708,Balanced,23841.13103,65653.78354,104462.7389
4e8e8940-c934-4973-91fe-e9e7d7fe936a,Balanced,25636.13824,113540.9917,134293.2007
5283d2ef-c9da-472a-95bf-5d3dcf72314e,Balanced,23353.82852,53820.54129,76348.70699
22c62bd2-d441-4d4c-81b4-652c500cad2c,Aggressive,27695.95026,34085.63251,103512.8891
b3b3a7bb-8606-4b29-8e30-0ee4b7088088,Balanced,44182.25749,90982.11691,118543.0626
91236b63-e615-4bef-b5ca-be166daa79f3,Aggressive,62190.34519,80857.51882,141490.8083
0d04d9fb-6ae4-4e22-99ae-40eb19438e3a,Balanced,37536.18837,43224.33963,51725.21864
65b96bc7-4ba8-4647-a589-fc981d73c722,Conservative,58644.43361,70750.49002,135872.5021
9b985b4a-460c-4ac6-9789-e4c4ef1e56e7,Aggressive,65497.22176,82230.03238,98112.73627
8e09a8e6-116c-4e62-8a88-af89911822cf,Aggressive,33132.16047,35461.30963,107512.5509
ea2ed1bf-f8eb-406f-9dbb-ba5dad6eea41,Balanced,90986.10101,97239.81242,131514.0991
8f24705f-e67b-46b5-be77-a16a3d62b156,Conservative,114471.7179,127337.4499,129705.0983
6c84e2c1-3533-464b-be6f-63043899474f,Aggressive,42011.08895,50542.23647,96118.11043
f30e27a4-46a0-4823-ae32-c14ad5c29f0f,Balanced,23982.59772,76728.37493,101227.7881
ae004fb8-e531-42d5-b0d2-5fac716d7ed9,Balanced,59188.64602,61783.87962,118005.6663
d01467d4-bb41-41ba-96bf-62efeff0873d,Aggressive,57966.99343,80189.88567,137733.1002
272b4949-9f38-41f2-b03c-d3616bd775cf,Aggressive,59801.58741,60846.86592,135826.7221
16d89b2e-61b8-4d3e-84b5-4531f0f56c72,Conservative,24100.7783,49441.33048,145407.1849
a292a55b-02fe-462b-b775-dd8e4428afaf,Balanced,45078.77867,129235.8358,136939.7951
1f349572-8687-4e12-9877-67d9ff1aed5f,Conservative,25555.87236,58042.71461,104925.6246
5febe90d-24de-4e7a-83bd-386e98136262,Conservative,16262.60574,49788.53203,102198.8088
d1c86f03-abc9-4630-b962-58687fcd13e3,Aggressive,38613.56169,61990.84431,87190.50171
ebe8e46a-b02a-451c-89a9-b2c311f5846f,Balanced,26390.02599,50075.20835,74214.11146
207d5ef1-1cc6-4a09-9164-e43a347b17a0,Aggressive,28628.45495,101958.8155,123357.3125
dbd7dc94-fd62-4876-bf4b-3e6a30aa30d9,Aggressive,15372.55255,52222.50388,91970.40012
c8ace516-db0a-4b94-a6bf-24940cfd7c9c,Aggressive,18965.28259,49355.14424,59368.46013
cd9c04ce-ad2a-4471-a149-8edc3c62c6ef,Conservative,40988.30097,91269.71935,110599.5594
af8c0c6e-055d-42e9-8ced-95ad0e27e44a,Balanced,120919.3101,128711.6562,147742.2719
302a021e-799f-4b9b-b92e-ddc905a627aa,Balanced,20949.09827,44594.54569,52827.20878
67bad568-db07-40e7-896c-b69482079607,Aggressive,26584.52259,97751.84887,117815.2847
fa73ccae-b17a-4abd-8477-7cac69b2a432,Balanced,104775.1339,131102.3045,139489.8311
e106aa0d-7e06-4d4b-8837-5e77d40358a5,Conservative,41599.59862,66377.97977,136717.3576
6bd11773-ffa5-4827-ba07-bf4f4c589f05,Balanced,46342.84398,61653.94704,105662.4985
274b4780-22aa-42dc-b24e-251429a7c58e,Balanced,26167.88718,49250.25027,145089.0524
4155cd18-6ce2-4537-bbcc-3d5ae9ec554c,Balanced,37006.73471,57776.54211,94911.87548
94bc64c6-72b2-4828-9285-ac8ff0e29e0a,Balanced,61922.81417,102509.1327,130161.6147
6fee9675-be7a-42db-a8bc-2ead0d779e41,Balanced,50277.30786,61208.20403,86074.51621
c1148f03-4dab-4111-a1e3-008eaa0721b0,Balanced,52893.3687,83223.02983,132370.5901
c7febf3b-b375-4fb9-bb20-98bc2d6fa25d,Aggressive,26950.77284,102795.1074,119968.8266
9476784a-80dd-4c30-a2c9-66412be9dc5d,Aggressive,17992.21405,48389.98219,142925.6222
1d34bc84-8b5d-4497-b3e3-55ce49b49004,Conservative,21602.69181,41059.35777,70207.3086
f670ea1f-e298-4de3-bd77-6de1c0d3db03,Aggressive,34162.55816,35252.63876,148580.6032
1363383b-9f15-4384-8fe6-2619e83d9c53,Balanced,33049.23571,69355.27735,139519.4855
574b4756-7d5b-441f-978e-5a3b51ae6b16,Balanced,123032.6353,144327.4933,148780.7255
5cb1e32f-98d8-4de3-a1da-45389c009b38,Balanced,15080.29234,42204.31758,145090.2541
a0e1e28e-65f4-410c-be67-5b1e6cf36b95,Balanced,45882.26642,87741.42936,127947.4386
b7e30417-92c6-46d1-ad6c-e2d2422ea2c0,Balanced,19912.12167,32540.01001,109059.8938
dadc4da0-0802-4e13-af09-17e98230bc2e,Aggressive,27243.61227,93507.4355,121101.4285
12503edf-9118-491f-9b1f-0b91e5261c28,Aggressive,25342.76865,52516.1941,105502.4515
d945e57e-e281-4bd7-8f1d-635c10b25b92,Balanced,100704.4441,107163.0662,147089.5121
c3cfff5a-dabb-4e14-9cf6-2b372c60384b,Balanced,73228.72691,84599.60588,120613.3439
4be5ec89-48b2-4813-a792-0833b4b6703c,Balanced,65221.89796,114241.9032,139123.8845
87dd2924-8256-4ae7-8044-b567136f0026,Balanced,74166.89093,79378.74802,118163.0886
24bbaae1-4385-4bc9-a28b-b8f609bc7763,Conservative,43649.5563,66573.91378,135650.08
c98f667b-705b-4be9-b404-ed34a192745b,Balanced,61958.72831,81105.17861,98032.27165
c39919c3-83fa-46ac-8819-1eb6143b6ca6,Aggressive,39925.8352,80885.57002,96812.26815
cafed08d-f8ea-4668-92f4-e29d560b3d44,Conservative,21834.94914,76999.89238,94330.92948
2b6941c1-6d61-4c8c-94ec-a6b98986a943,Conservative,20473.77367,77250.54703,90126.32651
8c425084-3425-4ddd-9845-8791375b6d44,Balanced,18238.86242,67044.88126,117681.0274
d30ef3e1-80a5-43f7-b27e-d31ee7e77574,Balanced,31265.27051,89181.44598,90907.97651
7e56b55f-895e-405c-965b-5ddc1fb06a6c,Balanced,16104.12544,43027.91236,143951.1873
48cc1883-8053-4e95-8774-8ca79862cd6d,Balanced,26630.83762,123468.5635,135996.349
2d003214-c2f1-4e7d-abbd-a80e1c2b4736,Balanced,46948.96884,49673.42643,149455.316
5788a35c-be76-443e-9239-0cd80760a11c,Conservative,40060.21627,45011.13729,51905.89177
e979168e-2718-44a6-af30-3aeffd915c44,Balanced,54567.78809,61785.21423,89058.50535
5cbca3cf-d9ad-4e72-a04f-1fa2df0866ff,Conservative,35178.51199,58196.28514,82376.43336
38f3f1de-14a8-46cd-b07c-c77b1baff3f7,Conservative,26727.60746,74262.86213,89570.57114
90d55b26-89c5-4284-8697-90bf644b917d,Balanced,48717.04276,66552.02438,148045.7743
f350e07b-777c-4c12-8230-f66206e13500,Conservative,80581.3001,89832.92506,90786.40775
47bb0f1a-e292-4929-ad2d-92d070bdd2cc,Conservative,20279.87476,21954.05144,54287.23
ec92572f-f6e8-4903-b78f-def286ebb0b9,Aggressive,28746.57493,105260.073,138564.7981
